"id";"location";"hotel_image";"hotel_name";"price";"hotel_type"
1;"lonavala";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/21/1721801_v2.jpeg";"The Dukes Retreat";10170;"Hotel"
2;"lonavala";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/10/18/1018280_v2.jpeg";"Treasure Island Resorts";7810;"Hotel"
3;"lonavala";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/10/69/10694504_v2.jpeg";"City Palace Resort";2214;"Hotel"
4;"lonavala";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/11/26/11263890.jpeg";"Capital O 14437 Casa Fedora";2719;"Hotel"
5;"lonavala";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/69/27/692701_v2.jpeg";"Fariyas Resort Lonavala";10552;"Hotel"
6;"lonavala";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/26/63/2663110_v1.jpeg";"Upper Deck";14159;"Hotel"
7;"lonavala";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/45/25/4525298_v1.jpeg";"Obetel Grande Resort";5120;"Hotel"
8;"lonavala";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/15/43/1543057_v2.jpeg";"Aamby Valley City";8767;"Hotel"
9;"lonavala";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/47/77/4777248_v2.jpeg";"Rhythm Lonavala";11596;"Resort"
10;"lonavala";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/20/64/2064778_v1.jpeg";"Citrus Hotels Lonavala";4815;"Hotel"
11;"lonavala";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/44/84/4484002_v2.jpeg";"Rumourss Sky Villa & Resort";5783;"Hotel"
12;"lonavala";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/25/1725013_v5.jpeg";"7 Apple Resort Lonavala";6019;"Hotel"
13;"lonavala";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/10/18/1018266_v3.jpeg";"Kumar Resort";5485;"Hotel"
14;"lonavala";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/35/83/3583390_v4.jpeg";"Novotel Imagica Khopoli";9038;"Hotel"
15;"lonavala";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/26/56/2656546_v2.jpeg";"Durshet Forest Lodge";4358;"Resort"
16;"lonavala";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/94/02/9402574.jpeg";"The Blue Lagoon Resort";2841;"Hotel"
17;"lonavala";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/25/29/2529644_v2.jpeg";"Hilton Shillim Estate Retreat & Spa";22425;"Hotel"
18;"mussoorie";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/26/67/2667434_v1.jpeg";"OYO 5153 Hotel Hamers International";1288;"Hotel"
19;"mussoorie";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/26/67/2667434_v1.jpeg";"OYO 5153 Hotel Hamers International";1288;"Hotel"
20;"mussoorie";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/15/15/1515261_v1.jpeg";"Mussoorie Gateway";3120;"Hotel"
21;"mussoorie";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/14/12/1412630_v2.jpeg";"Hotel Mall Palace";2222;"Hotel"
22;"mussoorie";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/44/71/4471464_v1.jpeg";"Natraj Palace";589;"Hotel"
23;"mussoorie";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/15/15/1515311_v1.jpeg";"The Imperial Square";3093;"Hotel"
24;"mussoorie";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/34/91/3491542_v1.jpeg";"JW Marriott Mussoorie Walnut Grove Resort & Spa";27730;"Hotel"
25;"mussoorie";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/26/17/2617792_v3.jpeg";"Treebo Trend Mussoorie Club";1876;"Hotel"
26;"mussoorie";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/49/19/4919712_v2.jpeg";"Treebo Trend Value And Spa";2134;"Hotel"
27;"mussoorie";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/15/31/15310064.jpeg";"EllBee Mussoorie Hills";3302;"Hotel"
28;"mussoorie";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/26/63/2663614_v2.jpeg";"Howard International";2470;"Hotel"
29;"mussoorie";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/85/13/8513624_v4.jpeg";"Hotel Nand Residency, Mussoorie";3500;"Hotel"
30;"mussoorie";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/44/95/4495504_v1.jpeg";"Abhinandan";1955;"Hotel"
31;"mussoorie";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/21/43/2143004.jpeg";"Fortune The Savoy";25960;"Hotel"
32;"mussoorie";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/25/25/2525568_v2.jpeg";"Ashirwad Hotel & Spa Mussoorie";2066;"Hotel"
33;"mussoorie";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/13/27/1327122_v3.jpeg";"Hotel Shiva Continental";2354;"Hotel"
34;"mussoorie";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/45/35/4535388_v1.jpeg";"Whispering Windows";1418;"Hotel"
35;"mussoorie";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/26/17/2617810.jpeg";"Hotel Oak Bush";1720;"Hotel"
36;"mussoorie";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/95/77/957707_v1.jpeg";"OYO 1688 Hotel Emerald Heights";2576;"Hotel"
37;"mussoorie";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/73/10/7310942_v2.jpeg";"Royal Mansion";2424;"Hotel"
38;"srinagar";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/11/60/1160514_v3.jpeg";"Ahdoos";4828;"Hotel"
39;"srinagar";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/14/12/1412058_v1.jpeg";"The Residency Srinagar";4159;"Hotel"
40;"srinagar";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/10/42/104221_v2.jpeg";"The Lalit Grand Palace Srinagar";44250;"Hotel"
41;"srinagar";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/26/00/2600282_v1.jpeg";"Milad";2100;"Hotel"
42;"srinagar";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/54/72/5472460.jpeg";"Crown Plaza Residency By Pi S";2479;"Hotel"
43;"srinagar";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/88/00/8800410.jpeg";"Welcomhotel Pine N Peak Pahalgam";21830;"Hotel"
44;"srinagar";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/10/53/1053118_v2.jpeg";"Radisson Srinagar";11210;"Hotel"
45;"srinagar";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/54/32/5432436_v1.jpeg";"GRG Residency";1195;"Hotel"
46;"srinagar";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/22/35/2235468_v3.jpeg";"Golden Hopes Group Of Houseboats";2400;"Hotel"
47;"srinagar";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/10/27/1027750_v4.jpeg";"Grand Habib";3535;"Hotel"
48;"srinagar";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/23/97/2397908_v2.jpeg";"Walisons";3182;"Hotel"
49;"srinagar";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/75/11/7511368.jpeg";"Four Points By Sheraton Srinagar";15458;"Hotel"
50;"srinagar";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/40/87/4087298_v2.jpeg";"Aksa Srinagar";2592;"Hotel"
51;"srinagar";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/75/65/7565504.jpeg";"Heritage Luxury";4104;"Hotel"
52;"srinagar";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/27/60/2760482_v2.jpeg";"Batra Hotels And Residences";4611;"Hotel"
53;"srinagar";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/27/23/2723376.jpeg";"Regal Palace";3642;"Hotel"
54;"srinagar";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/14/29/1429224_v6.jpeg";"New Green View-2 Srinagar";570;"Hotel"
55;"goa";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/13/04/13043320.jpeg";"Treebo Trend Dona Eliza";4279;"Hotel"
56;"goa";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/14/78/1478285_v5.jpeg";"Calangute Resort";2457;"Hotel"
57;"goa";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/19/54/1954711_v2.jpeg";"Grand Hyatt Goa";16862;"Hotel"
58;"goa";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/68/42/684276_v7.jpeg";"Bambolim Beach Resort";5337;"Hotel"
